Term	odds_ratio	Category	SampleID	CpGType	pvalue	EnrichType	-log10(Pval)
GLIS3	0.8571	TFBSrm	Luo2022	Negative	9.35e-171	Depletion	26.0
MYCN	0.1440	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
TFDP2	0.4416	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
CLOCK	0.6740	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
AHRR	0.6061	TFBSrm	Luo2022	Negative	1.46e-42	Depletion	26.0
ZNF730	0.7113	TFBSrm	Luo2022	Negative	8.29e-09	Depletion	26.0
ATXN7L3	0.2970	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZBTB1	0.3562	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
HNRNPH1	0.9111	TFBSrm	Luo2022	Negative	1.84e-40	Depletion	26.0
AFF1	0.5921	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
SRSF4	0.3567	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZKSCAN5	0.6580	TFBSrm	Luo2022	Negative	1.88e-60	Depletion	26.0
TBX3	0.6835	TFBSrm	Luo2022	Negative	2.62e-124	Depletion	26.0
SP2	0.1528	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZFY	0.1599	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
MAX	0.0957	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
GATAD1	0.4014	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF416	0.4293	TFBSrm	Luo2022	Negative	2.53e-18	Depletion	26.0
ZNF609	0.5059	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
MYBL2	0.2252	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
GLIS1	0.7579	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
SREBF2	0.6829	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF202	0.0974	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
KLF1	0.3691	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
NELFA	0.0554	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
PKNOX1	0.7950	TFBSrm	Luo2022	Negative	7.980000000000001e-156	Depletion	26.0
L3MBTL2	0.3160	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
SMAD3-HIF1A	0.7910	TFBSrm	Luo2022	Negative	1.49e-191	Depletion	26.0
MTA1	0.3621	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
BHLHE40	0.2379	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
KMT2D	0.4989	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
MLLT1	0.6135	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF184	0.8997	TFBSrm	Luo2022	Negative	6.66e-30	Depletion	26.0
ZNF777	0.2898	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ARID5B	0.3389	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
PLRG1	0.4788	TFBSrm	Luo2022	Negative	2.91e-07	Depletion	26.0
KDM1A	0.4674	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
RELB	0.9182	TFBSrm	Luo2022	Negative	3.12e-47	Depletion	26.0
ZNF623	0.5655	TFBSrm	Luo2022	Negative	3.8100000000000005e-223	Depletion	26.0
ZNF142	0.2906	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
TAF9B	0.3883	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ARID3A	0.7509	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
NFATC1	0.5296	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ARHGAP35	0.5651	TFBSrm	Luo2022	Negative	7.99e-50	Depletion	26.0
TRIM24	0.1126	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
TCF7	0.7027	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZSCAN4	0.5876	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
NANOG	0.6187	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
TCF12	0.2004	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
JDP2	0.1002	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
RORB	0.2894	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
CXXC4	0.1420	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
INTS11	0.0995	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF256	0.2466	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
INTS13	0.3986	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
GMEB2	0.1337	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
CHD1	0.0613	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
FLI1	0.3880	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
RXR	0.9239	TFBSrm	Luo2022	Negative	2.21e-52	Depletion	26.0
TAF1	0.0278	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF513	0.4246	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
RUNX2	0.9161	TFBSrm	Luo2022	Negative	7.29e-47	Depletion	26.0
ZNF266	0.6376	TFBSrm	Luo2022	Negative	4.48e-30	Depletion	26.0
ZNF133	0.6832	TFBSrm	Luo2022	Negative	1.9e-52	Depletion	26.0
SALL3	0.3899	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
SMARCE1	0.9563	TFBSrm	Luo2022	Negative	3.18e-15	Depletion	26.0
CEBPD	0.5875	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF10	0.6362	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZBTB5	0.8222	TFBSrm	Luo2022	Negative	6.92e-17	Depletion	26.0
ZBTB40	0.8098	TFBSrm	Luo2022	Negative	8.82e-291	Depletion	26.0
ONECUT2	0.8079	TFBSrm	Luo2022	Negative	1.4499999999999997e-104	Depletion	26.0
ZSCAN29	0.5485	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
KLF3	0.6292	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ARRB1	0.5835	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
SRSF9	0.7702	TFBSrm	Luo2022	Negative	0.000404	Depletion	26.0
CARM1	0.3117	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
MLX	0.5634	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
POU2F1	0.5894	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
MPHOSPH8	0.9047	TFBSrm	Luo2022	Negative	0.000102	Depletion	26.0
ZNF207	0.5613	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
BRD1	0.1745	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
IRF4	0.8320	TFBSrm	Luo2022	Negative	1.1399999999999999e-89	Depletion	26.0
XBP1	0.5813	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
TGIF2	0.3693	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF527	0.3633	TFBSrm	Luo2022	Negative	8.78e-09	Depletion	26.0
NFE2L2	0.7008	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
USF1	0.6827	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
HDAC6	0.2446	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZSCAN23	0.4593	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
NFKB1	0.3517	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
NCOR1	0.8530	TFBSrm	Luo2022	Negative	1.4900000000000002e-124	Depletion	26.0
KLF15	0.2725	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
E2F6	0.2171	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
SNAPC4	0.6728	TFBSrm	Luo2022	Negative	1.42e-13	Depletion	26.0
SMAD2-3	0.4450	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF343	0.2478	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
TAF2	0.4538	TFBSrm	Luo2022	Negative	1.08e-38	Depletion	26.0
SIRT6	0.5390	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
NR3C1	0.9578	TFBSrm	Luo2022	Negative	2.19e-06	Depletion	26.0
ZNF12	0.5606	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
TFE3	0.6472	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZXDB	0.4380	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
CUX1	0.6795	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF557	0.6615	TFBSrm	Luo2022	Negative	1.25e-12	Depletion	26.0
RARA	0.5485	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
MRTFB	0.7634	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
BAF155	0.4677	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
NFAT5	0.3588	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
NFKBIZ	0.6059	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
RING1	0.5530	TFBSrm	Luo2022	Negative	2.4700000000000003e-163	Depletion	26.0
EHMT2	0.3989	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
BRD2	0.0515	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
BCL3	0.9073	TFBSrm	Luo2022	Negative	1.42e-50	Depletion	26.0
MEF2A	0.7742	TFBSrm	Luo2022	Negative	7.1e-308	Depletion	26.0
ZNF503	0.3612	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZSCAN18	0.2342	TFBSrm	Luo2022	Negative	9.7e-287	Depletion	26.0
HMGA1	0.6804	TFBSrm	Luo2022	Negative	2.25e-75	Depletion	26.0
ZNF766	0.3262	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF467	0.6387	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
FOXP1	0.4516	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
RLF	0.3294	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
SALL4	0.0397	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
FOXP4	0.6278	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
RUNX1	0.2372	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
DPF1	0.6715	TFBSrm	Luo2022	Negative	1.1399999999999999e-62	Depletion	26.0
PLAG1	0.6594	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZBTB7A	0.0983	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
IRF2	0.6938	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
SRSF3	0.7177	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
CXXC5	0.1817	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
THRB	0.7910	TFBSrm	Luo2022	Negative	3.47e-176	Depletion	26.0
PPARG	0.9268	TFBSrm	Luo2022	Negative	5.79e-45	Depletion	26.0
ZNF579	0.8122	TFBSrm	Luo2022	Negative	9.210000000000001e-80	Depletion	26.0
ZNF460	0.1823	TFBSrm	Luo2022	Negative	4.1099999999999996e-149	Depletion	26.0
ZNF583	0.7291	TFBSrm	Luo2022	Negative	3.14e-114	Depletion	26.0
GRHL2	0.9306	TFBSrm	Luo2022	Negative	3.68e-15	Depletion	26.0
STAT5B	0.5356	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
NR2C2	0.5041	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF24	0.5285	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF407	0.7811	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
E2F1	0.0338	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
SAFB	0.2404	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZHX1	0.8106	TFBSrm	Luo2022	Negative	8.24e-173	Depletion	26.0
SNAI2	0.5475	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ATF7	0.5964	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF891	0.6833	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF37A	0.3313	TFBSrm	Luo2022	Negative	1.04e-61	Depletion	26.0
TFAP2A	0.6845	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
MYB	0.5779	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
CREB1	0.1111	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
KDM5A	0.1169	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
BDP1	0.4994	TFBSrm	Luo2022	Negative	3.04e-14	Depletion	26.0
ZNF846	0.0845	TFBSrm	Luo2022	Negative	8.859999999999999e-282	Depletion	26.0
ARID4B	0.2925	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
YY1	0.0788	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
HIC1	0.8521	TFBSrm	Luo2022	Negative	2.75e-92	Depletion	26.0
RBM14	0.3575	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
JARID2	0.3981	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
SUZ12	0.2819	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ATF1	0.1204	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
PCBP2	0.7128	TFBSrm	Luo2022	Negative	3.78e-115	Depletion	26.0
SNIP1	0.3196	TFBSrm	Luo2022	Negative	1.43e-256	Depletion	26.0
GLI4	0.2111	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
HINFP	0.7567	TFBSrm	Luo2022	Negative	8.09e-19	Depletion	26.0
ZNF740	0.3763	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF2	0.6665	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
PREB	0.1663	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF572	0.8481	TFBSrm	Luo2022	Negative	8.54e-121	Depletion	26.0
OLIG2	0.7957	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF711	0.5013	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
RBBP5	0.1533	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF566	0.1964	TFBSrm	Luo2022	Negative	7.25e-52	Depletion	26.0
ZNF444	0.6957	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
NR2F2	0.9146	TFBSrm	Luo2022	Negative	1.09e-28	Depletion	26.0
SAP30	0.3687	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
SMARCA5	0.7828	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
GSPT2	0.5305	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF84	0.7612	TFBSrm	Luo2022	Negative	7.08e-07	Depletion	26.0
TARDBP	0.1736	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF391	0.2905	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
AEBP2	0.4611	TFBSrm	Luo2022	Negative	7.52e-11	Depletion	26.0
ASXL3	0.4236	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
LDB1	0.8157	TFBSrm	Luo2022	Negative	1.6699999999999999e-249	Depletion	26.0
ZNF384	0.9379	TFBSrm	Luo2022	Negative	6.32e-16	Depletion	26.0
ZNF165	0.7625	TFBSrm	Luo2022	Negative	3.49e-22	Depletion	26.0
CDK6	0.5750	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
CREB3L1	0.3402	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
TERT	0.3429	TFBSrm	Luo2022	Negative	2.21e-25	Depletion	26.0
MLLT3	0.3982	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
BAHD1	0.4540	TFBSrm	Luo2022	Negative	5.37e-12	Depletion	26.0
TAF7	0.2937	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
KDM4B	0.3605	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
DLX6	0.4692	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF701	0.5845	TFBSrm	Luo2022	Negative	5.2099999999999996e-24	Depletion	26.0
NOTCH1	0.3798	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF791	0.5377	TFBSrm	Luo2022	Negative	2.52e-49	Depletion	26.0
FOXK2	0.8849	TFBSrm	Luo2022	Negative	3.4999999999999998e-46	Depletion	26.0
ZKSCAN1	0.7685	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF764	0.5111	TFBSrm	Luo2022	Negative	3.9e-198	Depletion	26.0
PRKDC	0.6960	TFBSrm	Luo2022	Negative	1.9900000000000002e-109	Depletion	26.0
RBM25	0.5089	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
REST	0.2658	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF217	0.3088	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZBTB6	0.7447	TFBSrm	Luo2022	Negative	9.569999999999999e-197	Depletion	26.0
SP3	0.2954	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF329	0.6256	TFBSrm	Luo2022	Negative	7.37e-24	Depletion	26.0
AR	0.4947	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
EP300	0.3534	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF479	0.7448	TFBSrm	Luo2022	Negative	2.05e-124	Depletion	26.0
BCL11B	0.2237	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
REPIN1	0.2108	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
RBP2	0.0267	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
MEN1	0.2113	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF34	0.8069	TFBSrm	Luo2022	Negative	4.97e-25	Depletion	26.0
ZNF548	0.7554	TFBSrm	Luo2022	Negative	2.61e-10	Depletion	26.0
EPAS1	0.5974	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
HNRNPLL	0.2551	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
BRCA1	0.2360	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
NCOA1	0.8855	TFBSrm	Luo2022	Negative	2.39e-46	Depletion	26.0
ZNF528	0.7266	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ATF3	0.8068	TFBSrm	Luo2022	Negative	1.56e-106	Depletion	26.0
CDC5L	0.8752	TFBSrm	Luo2022	Negative	4.2e-06	Depletion	26.0
ETV4	0.6737	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF747	0.5394	TFBSrm	Luo2022	Negative	8.62e-10	Depletion	26.0
ZNF281	0.8295	TFBSrm	Luo2022	Negative	7.43e-63	Depletion	26.0
ZNF671	0.8356	TFBSrm	Luo2022	Negative	2.42e-08	Depletion	26.0
ZNF611	0.5680	TFBSrm	Luo2022	Negative	4.2e-50	Depletion	26.0
STAT3	0.4887	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF224	0.2737	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
FUS	0.1496	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF692	0.5393	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
SKIL	0.7912	TFBSrm	Luo2022	Negative	6.57e-281	Depletion	26.0
SMARCB1	0.2180	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
MED	0.6216	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
TRIM28	0.6906	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
MED1	0.0477	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
HMGB1	0.1556	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
PALB2	0.2886	TFBSrm	Luo2022	Negative	4.37e-219	Depletion	26.0
ZNF547	0.3358	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
PCBP1	0.2445	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF585B	0.5883	TFBSrm	Luo2022	Negative	5.459999999999999e-42	Depletion	26.0
ZSCAN26	0.3932	TFBSrm	Luo2022	Negative	2.55e-20	Depletion	26.0
LIN9	0.1084	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF649	0.8458	TFBSrm	Luo2022	Negative	4.72e-06	Depletion	26.0
ZNF677	0.2985	TFBSrm	Luo2022	Negative	4.58e-255	Depletion	26.0
NFXL1	0.7996	TFBSrm	Luo2022	Negative	3.39e-25	Depletion	26.0
HDAC8	0.7150	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
REL	0.2917	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
MYC	0.0826	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF354B	0.6568	TFBSrm	Luo2022	Negative	6.46e-16	Depletion	26.0
ZNF534	0.4721	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZBED2	0.3023	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
ZNF175	0.6596	TFBSrm	Luo2022	Negative	0.0	Depletion	26.0
WDR5	0.5496	TFBSrm	Luo2022	Negative	0.0	Depletion	25.999999999999993
TBX2	0.4480	TFBSrm	Luo2022	Negative	0.0	Depletion	25.999999999999993
WT1	0.6651	TFBSrm	Luo2022	Negative	0.0	Depletion	25.99999999999999
BAP1	0.4126	TFBSrm	Luo2022	Negative	0.0	Depletion	25.999999999999986
SREBF1	0.5889	TFBSrm	Luo2022	Negative	0.0	Depletion	25.99999999999997
ZNF837	0.2828	TFBSrm	Luo2022	Negative	1.58e-131	Depletion	25.999999999999947
HSF2	0.6699	TFBSrm	Luo2022	Negative	4.0300000000000004e-56	Depletion	25.99999999999994
ZNF783	0.0559	TFBSrm	Luo2022	Negative	0.0	Depletion	25.99999999999993
TBL1XR1	0.6755	TFBSrm	Luo2022	Negative	0.0	Depletion	25.999999999999897
SFMBT1	0.2577	TFBSrm	Luo2022	Negative	0.0	Depletion	25.999999999999865
PHC1	0.1749	TFBSrm	Luo2022	Negative	2.0300000000000002e-116	Depletion	25.999999999999606
ARID4A	0.5460	TFBSrm	Luo2022	Negative	0.0	Depletion	25.999999999999535
NCOA6	0.2138	TFBSrm	Luo2022	Negative	0.0	Depletion	25.999999999999215
MITF	0.9320	TFBSrm	Luo2022	Negative	1.11e-34	Depletion	25.999999999998543
ZNF507	0.8985	TFBSrm	Luo2022	Negative	1.9e-07	Depletion	25.99999999999075
VDR	0.6363	TFBSrm	Luo2022	Negative	0.0	Depletion	25.99999999998797
PTBP1	0.7990	TFBSrm	Luo2022	Negative	0.0	Depletion	25.99999999991097
ZNF662	0.7601	TFBSrm	Luo2022	Negative	0.000105	Depletion	25.999999999906628
ZNF429	0.8684	TFBSrm	Luo2022	Negative	0.000213	Depletion	25.999999999816726
ZNF169	0.4666	TFBSrm	Luo2022	Negative	1.99e-84	Depletion	25.99999999915747
ZFP37	0.5058	TFBSrm	Luo2022	Negative	0.0	Depletion	25.999999999087983
ZNF610	0.2529	TFBSrm	Luo2022	Negative	0.0	Depletion	25.999999999079296
SRF	0.8305	TFBSrm	Luo2022	Negative	1.1900000000000001e-117	Depletion	25.999999998397453
ZNF714	0.6209	TFBSrm	Luo2022	Negative	6.46e-22	Depletion	25.99999999031523
RBM22	0.8651	TFBSrm	Luo2022	Negative	1.4999999999999998e-166	Depletion	25.999999977373257
PHF19	0.8625	TFBSrm	Luo2022	Negative	8.77e-29	Depletion	25.999999931381478
PHF5A	0.5960	TFBSrm	Luo2022	Negative	0.0	Depletion	25.999999928341417
SMAD2	0.7092	TFBSrm	Luo2022	Negative	5.76e-156	Depletion	25.999999884477685
IRF1	0.8441	TFBSrm	Luo2022	Negative	1.46e-206	Depletion	25.999999879700447
ZNF645	0.3315	TFBSrm	Luo2022	Negative	2.63e-227	Depletion	25.99999976504675
KLF17	0.6875	TFBSrm	Luo2022	Negative	0.0	Depletion	25.999999623032554
ZNF397	0.6617	TFBSrm	Luo2022	Negative	1.9800000000000002e-29	Depletion	25.999999087982545
MBD1	0.6763	TFBSrm	Luo2022	Negative	6.04e-304	Depletion	25.999998918608085
ZNF639	0.5200	TFBSrm	Luo2022	Negative	0.0	Depletion	25.999998862149948
ZMYND8	0.8282	TFBSrm	Luo2022	Negative	3.91e-120	Depletion	25.999996725431952
HOXA3	0.7344	TFBSrm	Luo2022	Negative	0.0	Depletion	25.999996156510843
ZNF687	0.8138	TFBSrm	Luo2022	Negative	1.3e-212	Depletion	25.999995222786975
ESRRA	0.8428	TFBSrm	Luo2022	Negative	1.58e-78	Depletion	25.999991140482937
ZSCAN31	0.5580	TFBSrm	Luo2022	Negative	3.82e-46	Depletion	25.999990575911994
ZNF765	0.5351	TFBSrm	Luo2022	Negative	1.36e-36	Depletion	25.99998770964007
ZNF75A	0.1949	TFBSrm	Luo2022	Negative	0.0	Depletion	25.99996999128809
PDX1	0.9546	TFBSrm	Luo2022	Negative	1.14e-13	Depletion	25.999956138472296
NFYA	0.1934	TFBSrm	Luo2022	Negative	0.0	Depletion	25.999948756274456
TCF3	0.6735	TFBSrm	Luo2022	Negative	0.0	Depletion	25.9994444585339
CHAF1B	0.5181	TFBSrm	Luo2022	Negative	1.35e-97	Depletion	25.994133398124614
ZNF304	0.6979	TFBSrm	Luo2022	Negative	6.49e-06	Depletion	25.98842955640272
PBX3	0.8533	TFBSrm	Luo2022	Negative	3.05e-77	Depletion	25.988302711885858
ZBTB48	0.3850	TFBSrm	Luo2022	Negative	0.0	Depletion	25.985689519036693
ZBED1	0.7223	TFBSrm	Luo2022	Negative	1.14e-186	Depletion	25.95742448755981
ZSCAN30	0.3344	TFBSrm	Luo2022	Negative	0.0	Depletion	25.95546023960759
HEXIM1	0.8059	TFBSrm	Luo2022	Negative	0.0	Depletion	25.921543181946706
MSX2	0.7591	TFBSrm	Luo2022	Negative	4.7000000000000005e-80	Depletion	25.90239567112559
ZNF267	0.3081	TFBSrm	Luo2022	Negative	9.52e-40	Depletion	25.800244822746524
XRCC5	0.8761	TFBSrm	Luo2022	Negative	1.72e-105	Depletion	25.72955409198204
SRSF7	0.4466	TFBSrm	Luo2022	Negative	0.0	Depletion	25.286509456906057
NFYC	0.4908	TFBSrm	Luo2022	Negative	0.0	Depletion	25.26360349772336
ZFP14	0.7665	TFBSrm	Luo2022	Negative	7.3e-05	Depletion	24.968995718636464
GTF2A2	0.3452	TFBSrm	Luo2022	Negative	1.1499999999999999e-197	Depletion	24.872895201635192
ZNF189	0.5958	TFBSrm	Luo2022	Negative	0.0	Depletion	24.101823516502325
ZNF35	0.9663	TFBSrm	Luo2022	Negative	2.21e-05	Depletion	24.00305075150462
UBTF	0.5200	TFBSrm	Luo2022	Negative	0.0	Depletion	23.732828271596986
CDX2	0.7869	TFBSrm	Luo2022	Negative	4.9699999999999996e-232	Depletion	23.41566877563247
YY2	0.3041	TFBSrm	Luo2022	Negative	0.0	Depletion	22.954285941059133
ZNF641	0.5867	TFBSrm	Luo2022	Negative	6.08e-12	Depletion	22.920456992597092
ID3	0.9483	TFBSrm	Luo2022	Negative	8.22e-17	Depletion	22.77185639240226
CDK7	0.5566	TFBSrm	Luo2022	Negative	0.0	Depletion	22.681727919788372
ELL2	0.7928	TFBSrm	Luo2022	Negative	1.52e-264	Depletion	22.402195157595706
ARID1B	0.8323	TFBSrm	Luo2022	Negative	6.1e-233	Depletion	22.397831448621
SMARCA4	0.1293	TFBSrm	Luo2022	Negative	0.0	Depletion	22.348625056086956
TOP1	0.4024	TFBSrm	Luo2022	Negative	0.0	Depletion	22.32230181852549
